ID,Consultant,URL,Duplicate/Unique,Search_Term,DateRetrieved,DatePublished,Job_Field,Job_Level,Job_title,Industry,Company,Experience LL (in years),Experience UL (in years),City,Country,Employment type,Work Setting,Payment Frequency,Currency,Salary LL,Salary UL,English proficiency,Additional_languages,Educational qualifications (if they need more than 1),Diploma,BSc,MSc,Mphil,Dphil/PhD,CIMA,ACCA,CIM,CA,CFA,Chartered Engineer,AI,Natural_Language_Processing(NLP),Data_Pipelines,Machine_Learning,Deep Learning,Computer_vision,Data_visualization,Data_warehouse,BigData,Data_management,Data_mining,Data_science,Bayesian,Optimization,Numerical_Analysis,IOT,Data_translation,Modelling,VBA macro,EDA,Hypothesis Testing,Data Analytics,Statistics,Data Cleaning,Survey Design,Dashboard Creation,Data Governance,Data Stratergy,Data Policy,Data Engineering,Software_development_process,Data Structuring,R,SAS,SPSS,Python,MAtlab,Scala,C#,Java,C++,C,Bash,Tensorflow,pyspark,YOLO,Vertica,SOQL,SOSL,MS Word,Ms Excel,Ms Access,Ms PowerPoint,Spreadsheets,Quickbooks,Outlook,Google_Analytics,Microsoft Power BI,Tableau,D3,Qlik,KNIME,Spotfire,Data Studio,Linux/Unix,OLE/DB,SQL,NoSQL,RDBMS,Oracle,MySQL,MongoDB,PostgreSQL,MPP_Platforms,SPL,Shopify,Looker,Snowflake,MixPanel,Alteryx,Spark,Kafka,Hadoop,Pig,Hive,Map/Reduce,Impala,Storm,Google_Cloud,AWS,cloud_storage,S3,Redshift,DigitalOcean,Teradata,Solr,Elasticsearch,EC2,EMR,Athena,DynamoDB,Safe Habour,Glue,Lambda,RDS,Kinesis,ECS,Fargate,Presentation_Skills,Communication,Problem_Solving,Team_Handling,agile execution,Analytical Skills,Intepretation,Project Management,Entrepreneurial Skills,Motivation,Time Management,Report Writting,Multi-tasking,Data_marketing,SEO,graphics_and_design_skills,Content_Management,Economic,Finance_Knowledge,Investment_Knowledge,Debtor_reconcilation,Payroll_management,Flash_Actionscript,web_design_and_development_tools,Wordpress,PHP,Javascript,Web_Analytic_tools,Recruitments,Payrolls,Branding,ETL/ELT,VMware,Azure,Saleforce Data Loader,Copado Data Deployer,Talend open studio,Experience with remote sensing,Shell,Go,PyTorch,ArcGIS,PostGIS,STATA,Leadership,Collaboration Skills,Research Skills,Crystal Reports
1,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=24&ac=0000000039&jc=0001040234&ec=0000000039&pg=applicant/vacancybyfunctionalarea.jsp,Unique,Data Engineer,06-01-23,05-01-23,Data Science,Senior,Senior Engineer-Data warehousing and BI,,DFCC Bank,4,4,Colombo,Sri Lanka,Full-time,On-site,NA,NA,NA,NA,0,NA,0,0,"IT, Computing, Data Science",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0001040314&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Unique,Data Engineer,06-01-23,05-01-23,Database Systems,Junior,Database Engineer,,NA,2,3,NA,Sri Lanka,Full-time,On-site,NA,NA,NA,NA,1,NA,0,0,Bachelor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=61&ac=DEFZZZ&jc=0001039583&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Unique,Data Engineer,06-01-23,04-01-23,Database Systems,Junior,Database Administrator,,Abans,3,6,NA,Sri Lanka,Full-time,On-site,NA,NA,NA,NA,0,NA,0,"Computer Science, Information Systems","Computer Science, Information Systems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=70&ac=0000000486&jc=0001039237&ec=0000000654&pg=applicant/vacancybyfunctionalarea.jsp,Unique,Data Engineer,06-01-23,03-01-23,Data Science,Senior,Consulting D & A Azure Engineer,,George Bernard PVT Limited,3,3,NA,Sri Lanka,Full-time,On-site,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kavya,http://topjobs.lk/employer/JobAdvertismentServlet?rid=107&ac=DEFZZZ&jc=0001037249&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,Unique,Data Engineer,06-01-23,27-12-22,Data Science,Junior,Data Scientist,,VeracityAI,1,2,NA,Sri Lanka,Full-time,Hybrid,NA,NA,NA,NA,0,NA,0,0,"Computer Science, Statistics, Mathematics",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3278984213&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Unique,Data Engineer,06-01-23,06-01-23,Data Science,Senior,Data Scientist,,LSEG,NA,NA,Colombo,Sri Lanka,Full-time,NA,NA,NA,NA,NA,0,NA,0,0,"Computer Science, IT",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3373142213&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Unique,Data Engineer,06-01-23,06-01-23,Data Science,Senior,D & A Azure Manager,,Ernst & Young,8,10,Colombo,Sri Lanka,Full-time,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3421377661&f_TPR=a1672908711-&keywords=data%20science&savedSearchId=1215891153&searchAlertRefId=510900f5-6cfb-4698-9347-017de171b339,Unique,Data Engineer,06-01-23,05-01-23,Data Science,Intern,Data Analyst,,Novelship,NA,NA,NA,Singapore,Full-time,Remote,NA,NA,NA,NA,1,NA,0,0,"Computer Science, Statistics, Business Analytics, Data Science",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3363804207&f_TPR=a1672858223-&keywords=mathematics&savedSearchId=1351249523&searchAlertRefId=7d20661a-65a0-4feb-ac13-698b571c59d3,Unique,Data Engineer,06-01-23,05-01-23,Data Science,Senior,Data Analyst,,ADA,3,5,Colombo,Sri Lanka,Full-time,NA,NA,NA,NA,NA,0,NA,0,0,"Applied Math, Statistics, Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Kavya,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=3420722318&f_TPR=a1672851334-&keywords=artificial%20intelligence&savedSearchId=1217527563&searchAlertRefId=b90865be-4304-4d0d-9cb8-47baac6742b8,Unique,Data Engineer,06-01-23,05-01-23,Data Science,Senior,Machine Learning Specialist,,Bestkarera Recruitment,NA,NA,Colombo,Sri Lanka,Full-time,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
